City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sainte-anne-des-monts,49.124,-66.4924,18.93,63,{'all': 100},1.9,CA,1691506800
1,queenstown,-31.8976,26.8753,17.8,38,{'all': 85},3.15,ZA,1691506800
2,hermanus,-34.4187,19.2345,16.56,71,{'all': 46},5.64,ZA,1691506800
3,dryden,49.7833,-92.7503,20.03,94,{'all': 40},1.88,CA,1691506800
4,sandnessjoen,66.0217,12.6316,27.06,50,{'all': 20},7.18,NO,1691506800
5,palapag,12.5458,125.1147,26.93,84,{'all': 14},3.84,PH,1691506800
6,seferihisar,38.1969,26.839,35.28,38,{'all': 0},6.43,TR,1691506800
7,rongelap,11.1635,166.8941,28.25,79,{'all': 31},6.72,MH,1691506800
8,grytviken,-54.2811,-36.5092,-4.04,81,{'all': 22},3.58,GS,1691506800
9,waitangi,-43.9535,-176.5597,9.34,95,{'all': 100},1.4,NZ,1691506800
10,staroleushkovskaya,45.9906,39.7631,36.61,22,{'all': 0},3.25,RU,1691506800
11,tolanaro,-25.0319,46.9987,24.04,73,{'all': 75},5.12,MG,1691506800
12,yaren,-0.5472,166.916,27.94,72,{'all': 94},3.07,NR,1691506800
13,ancud,-41.8697,-73.8203,9.02,92,{'all': 100},2.93,CL,1691506800
14,nabire,-3.3667,135.4833,24.42,88,{'all': 97},2.09,ID,1691506800
15,port-aux-francais,-49.35,70.2167,1.56,77,{'all': 90},15.96,TF,1691506800
16,korem,12.5058,39.5228,20.73,52,{'all': 99},3.49,ET,1691506800
17,uturoa,-16.7333,-151.4333,25.34,78,{'all': 75},1.7,PF,1691506800
18,cabo san lucas,22.8909,-109.9124,30.72,51,{'all': 0},6.19,MX,1691506800
19,stanley,54.868,-1.6985,17.74,54,{'all': 40},6.48,GB,1691506800
20,edinburgh of the seven seas,-37.0676,-12.3116,14.94,85,{'all': 40},19.83,SH,1691506800
21,adamstown,-25.066,-130.1015,22.1,86,{'all': 99},11.73,PN,1691506800
22,olonkinbyen,70.9221,-8.7187,4.88,90,{'all': 100},5.89,SJ,1691506800
23,palikir - national government center,6.9248,158.1611,27.42,94,{'all': 100},6.03,FM,1691506800
24,blackmans bay,-43.0167,147.3167,5.73,94,{'all': 68},2.29,AU,1691506800
25,ushuaia,-54.8,-68.3,2.81,87,{'all': 0},2.12,AR,1691506800
26,atafu village,-8.5421,-172.5159,27.96,73,{'all': 30},5.5,TK,1691506800
27,severo-yeniseyskiy,60.3725,93.0408,12.61,97,{'all': 93},1.98,RU,1691506800
28,puerto natales,-51.7236,-72.4875,1.12,75,{'all': 78},0.9,CL,1691506800
